"Date","Price","Open","High","Low","Vol.","Change %"
"31/10/2022","4,820.09","4,826.86","4,839.04","4,800.35","132.38M","-0.02%"
"28/10/2022","4,820.98","4,762.97","4,824.58","4,755.70","170.22M","0.36%"
"27/10/2022","4,803.52","4,810.28","4,824.85","4,764.51","147.03M","-0.44%"
"26/10/2022","4,824.98","4,795.26","4,828.34","4,780.16","122.11M","0.51%"
"25/10/2022","4,800.72","4,742.18","4,802.21","4,714.56","117.38M","1.85%"
"24/10/2022","4,713.68","4,689.59","4,745.90","4,646.21","121.50M","1.59%"
"21/10/2022","4,640.02","4,629.04","4,656.08","4,577.18","119.74M","-0.81%"
"20/10/2022","4,677.73","4,651.21","4,689.24","4,631.01","104.84M","0.78%"
"19/10/2022","4,641.42","4,683.43","4,693.70","4,641.42","115.34M","-0.52%"
"18/10/2022","4,665.78","4,687.77","4,719.34","4,658.04","115.14M","0.48%"
"17/10/2022","4,643.31","4,570.69","4,663.00","4,542.94","102.89M","1.88%"
"14/10/2022","4,557.68","4,585.60","4,642.04","4,549.21","127.52M","0.87%"
"13/10/2022","4,518.31","4,448.59","4,532.53","4,385.62","148.35M","1.11%"
"12/10/2022","4,468.55","4,489.92","4,509.41","4,446.80","113.19M","-0.35%"
"11/10/2022","4,484.14","4,456.32","4,496.87","4,438.54","114.85M","-0.16%"
"10/10/2022","4,491.14","4,466.95","4,526.68","4,460.21","112.87M","-0.48%"
"07/10/2022","4,512.78","4,548.85","4,581.38","4,503.08","110.12M","-1.20%"
"06/10/2022","4,567.80","4,617.65","4,629.65","4,552.84","110.33M","-0.74%"
"05/10/2022","4,601.78","4,622.15","4,641.72","4,577.76","121.26M","-0.98%"
"04/10/2022","4,647.29","4,514.06","4,647.29","4,509.46","150.76M","4.12%"
"03/10/2022","4,463.39","4,386.05","4,470.27","4,353.96","140.57M","0.64%"
"30/09/2022","4,435.09","4,397.97","4,440.90","4,379.57","166.76M","1.55%"
"29/09/2022","4,367.41","4,399.12","4,399.12","4,331.35","169.51M","-1.59%"
"28/09/2022","4,438.13","4,383.85","4,444.10","4,348.62","164.77M","0.21%"
"27/09/2022","4,428.86","4,470.64","4,502.56","4,428.86","133.19M","-0.24%"
"26/09/2022","4,439.49","4,441.27","4,482.66","4,414.13","141.57M","-0.24%"
"23/09/2022","4,450.34","4,546.15","4,549.79","4,436.55","165.02M","-2.31%"
"22/09/2022","4,555.74","4,568.19","4,635.04","4,555.74","128.07M","-1.97%"
"21/09/2022","4,647.20","4,572.62","4,648.73","4,564.71","117.39M","0.79%"
"20/09/2022","4,610.60","4,696.51","4,719.65","4,604.87","127.45M","-1.48%"
"19/09/2022","4,679.91","4,646.62","4,702.07","4,613.78","94.54M","-0.23%"
"16/09/2022","4,690.62","4,709.47","4,718.91","4,670.41","253.60M","-1.33%"
"15/09/2022","4,753.90","4,793.97","4,821.77","4,742.61","120.75M","-0.99%"
"14/09/2022","4,801.37","4,794.14","4,823.75","4,772.60","129.36M","-0.42%"
"13/09/2022","4,821.53","4,912.54","4,937.08","4,821.53","134.62M","-1.46%"
"12/09/2022","4,892.75","4,825.02","4,906.61","4,810.90","130.35M","1.91%"
"09/09/2022","4,800.99","4,749.29","4,817.95","4,748.70","116.00M","1.43%"
"08/09/2022","4,733.29","4,743.34","4,747.81","4,664.66","122.46M","0.31%"
"07/09/2022","4,718.66","4,683.22","4,728.67","4,674.04","117.10M","-0.03%"
"06/09/2022","4,719.93","4,704.17","4,745.68","4,687.11","92.88M","0.17%"
"05/09/2022","4,711.79","4,676.88","4,720.28","4,655.61","105.32M","-1.22%"
"02/09/2022","4,769.77","4,701.39","4,777.15","4,682.52","119.16M","2.18%"
"01/09/2022","4,667.87","4,696.87","4,699.15","4,649.29","119.07M","-1.54%"
"31/08/2022","4,740.74","4,814.19","4,817.93","4,740.74","159.97M","-1.25%"
"30/08/2022","4,800.61","4,825.91","4,870.34","4,779.93","108.29M","-0.21%"
"29/08/2022","4,810.69","4,791.95","4,819.03","4,760.71","95.38M","-0.81%"
"26/08/2022","4,850.08","4,960.23","4,967.24","4,834.99","105.53M","-1.66%"
"25/08/2022","4,932.00","4,967.87","4,974.92","4,916.96","80.16M","-0.02%"
"24/08/2022","4,932.84","4,900.09","4,939.90","4,880.85","87.00M","0.38%"
"23/08/2022","4,914.38","4,890.12","4,945.25","4,890.12","104.25M","-0.26%"
"22/08/2022","4,926.95","4,983.24","4,990.93","4,908.32","126.07M","-1.82%"
"19/08/2022","5,018.46","5,040.51","5,058.84","5,013.64","102.93M","-0.99%"
"18/08/2022","5,068.79","5,048.35","5,083.10","5,040.16","94.16M","0.42%"
"17/08/2022","5,047.42","5,111.87","5,111.87","5,039.62","103.59M","-1.03%"
"16/08/2022","5,100.19","5,092.44","5,113.49","5,082.37","91.31M","0.33%"
